,Short Name,Reference
34,Duffels&Ewart(1988),"Duffels, J.P. & Ewart, A. (1988) The cicadas of the Fiji, Samoa and Tonga Island, their taxonomy and biogeography (Homoptera: Cicadoidea). Scandinavian Science Press, Leiden, The Netherlands"
35,Forzleyetal(1993),"Forzley, K.C., Grmien, T.A. & Wells, J.R. (1993) Comparative floristics of seven islands in northwestern Lake Michigan. Michigan Botanist, 32, 3–21."
36,Freifieldetal.(2001),"Freifeld, H.B., Steadman, D.W. & Sailer, J.K. (2001) Landbirds on offshore islands in Samoa. Journal of Field Ornithology, 72, 72–85."
37,Gardner (1986) coralline,"Gardner, A.S. (1986) The biogeography of the lizards of the Seychelles Islands. Journal of Biogeography, 13, 237–253."
38,Gardner (1986) granitic,"Gardner, A.S. (1986) The biogeography of the lizards of the Seychelles Islands. Journal of Biogeography, 13, 237–253."
39,Gaston et al 2006_ferns,"Gaston, A.J., Stockton, S.A. & Smith, J.L. (2006) Species-area relationships and the impact of deer-browse in the complex phytogeography of the Haida Gwaii archipelago (Queen Charlotte Islands), British Columbia. Ecoscience, 13, 511–522."
40,Gaston et al 2006_wildflowers,"Gaston, A.J., Stockton, S.A. & Smith, J.L. (2006) Species-area relationships and the impact of deer-browse in the complex phytogeography of the Haida Gwaii archipelago (Queen Charlotte Islands), British Columbia. Ecoscience, 13, 511–522."
41,Gastonetal(2006)Total,"Gaston, A.J., Stockton, S.A. & Smith, J.L. (2006) Species-area relationships and the impact of deer-browse in the complex phytogeography of the Haida Gwaii archipelago (Queen Charlotte Islands), British Columbia. Ecoscience, 13, 511–522."
42,Gerlach&Haas(2008)Orthop,"Gerlach, J. & Haas, F. (2008) Orthopteroidea of the Seychelles islands. Backhuys."
43,Gerlach&Matyot(2006) lepidop,"Gerlach, J.M. & Matyot, P. (2006) Lepidoptera of the Seychelles. Backhuys Publishers, Leiden, The Netherlands."
44,gerlach(2006) molluscs,"Gerlach, J. (2006) Terrestrial and freshwater Mollusca of the Seychelles islands. Backhuys Publishers, Leiden, The Netherlands."
45,Gerlach(2006)Aldambra,"Gerlach, J. (2006) Terrestrial and freshwater Mollusca of the Seychelles islands. Backhuys Publishers, Leiden, The Netherlands."
46,Gerlach(2007)amphibians,"Gerlach, J. (2007) Terrestrial and freshwater vertebrates of the Seychelles islands. Backhuys Publishers, Leiden, The Netherlands."
47,Gerlach(2007)reptiles,"Gerlach, J. (2007) Terrestrial and freshwater vertebrates of the Seychelles islands. Backhuys Publishers, Leiden, The Netherlands."
48,Gerlack&Marusik(2010) myriopoda,"Gerlach J, Marusik Y (Eds) (2010) Arachnida and Myriapoda of the Seychelles islands. Siri Scientific Press"
49,Giusti (1976)Snails,"Giusti, F. (1976) Notulae Malacologicae XXIII. I Molluschi terrestri, salmastri e di acqua dolce dell'Elba, Giannutri e scogli minori dell'Arcipelago Toscano. Biogeographia–The Journal of Integrative Biogeography, 5."
50,Goldstein&Simmons(2002),"Goldestein, P.Z.S. & Simmons, T. (2002) A checklist and commentary on the scarabaeid fauna of the Massachusetts offshore islands (Coleoptera: Scarabaeidae). Journal of the New York Entomological Society, 110, 389–401."
51,gotelli & adele (1982) Winbird,"Gotelli, N.J. & Abele, L.G. (1982) Statistical distributions of West Indian land bird families. Journal of Biogeography, 9, 421–435."
52,grant & cowan (1964) tresmarb,"Grant, P.R. & Cowan, I.M. (1964) A review of the avifauna of the Tres Marias Islands, Nayarit, Mexico. The Condor, 66, 221-228."
53,Griffiths & klingener (1983) gabat,"Griffiths, T. A., & Klingener, D. (1988). On the distribution of Greater Antillean bats. Biotropica, 20, 240-251"
54,Griffiths & klingener (1983) lesser Antilles (Labatpgc),"Griffiths, T. A., & Klingener, D. (1988). On the distribution of Greater Antillean bats. Biotropica, 20, 240-251"
55,HagerErie_mammals,"Hager, H.A. (1997) Conservation of species richness: are all umbrella species of similar quality? MSc Thesis. The University of Guelph, Ontario, Canada."
56,HagerLawrence_mammals,"Hager, H.A. (1997) Conservation of species richness: are all umbrella species of similar quality? MSc Thesis. The University of Guelph, Ontario, Canada."
57,HagerLawrence_plants,"Hager, H.A. (1997) Conservation of species richness: are all umbrella species of similar quality? MSc Thesis. The University of Guelph, Ontario, Canada."
58,Haila et al 1983_birds,"Haila, Y., Jarvinen, O. & Kuusela, S. (1983) Colonization of islands by land birds: prevalence functions in a Finnish archipelago. Journal of Biogeography, 10, 499–531."
59,Hanski (1986) Finlaks1,"Hanski, I. & Kuitunen, J. (1986) Shrews on small islands: epigenetic variation elucidates population stability. Holarctic Ecology, 9, 193–204."
60,Harris (1973) galabo,"Harris, M. P. (1973). The Galapagos avifauna. The Condor, 75, 265-278."
61,hausdorf & hennig (2005) reptiles,"Hausdorf, B. & Hennig, C. (2005) The influence of recent geography, palaeogeography and climate on the composition of the fauna of the central Aegean Islands. Biological Journal The island species–area relationship of the Linnean Society, 84, 785–795"
62,hausdorf & hennig (2005) snails,"Hausdorf, B. & Hennig, C. (2005) The influence of recent geography, palaeogeography and climate on the composition of the fauna of the central Aegean Islands. Biological Journal The island species–area relationship of the Linnean Society, 84, 785–795"
63,hausdorf & hennig (2005) Tene beetles,"Hausdorf, B. & Hennig, C. (2005) The influence of recent geography, palaeogeography and climate on the composition of the fauna of the central Aegean Islands. Biological Journal The island species–area relationship of the Linnean Society, 84, 785–795"
64,Heaney (1986) mindanam,"Heaney, L. R. (1986). Biogeography of mammals in SE Asia: estimates of rates of colonization, extinction and speciation. Biological Journal of the Linnean Society, 28, 127-165."
65,Heaney (1986) Palawam,"Heaney, L. R. (1986). Biogeography of mammals in SE Asia: estimates of rates of colonization, extinction and speciation. Biological Journal of the Linnean Society, 28, 127-165."
66,Henderson (2004),"Henderson, R.W. (2004) Lesser Antillean snake faunas: distribution, ecology, and conservation concerns. Oryx, 38, 311–320."
67,Holyaketal(2005),"Holyoak, G.A., Turk, S.M. & Cameron, R.A.D. (2005) Land molluscs on the Isles of Scilly: Species richness and composition related to area. Journal of Conchology, 38, 549–560."
68,Hope (1973) basshmp,"Hope, J. H.  (1973) Mammals of the Bass Strait Islands.  Proceedings of the Royal Society of Victoria 85, 163-195."
69,juvik & austring (1979),"Juvik, J.O. & Austring, A.P. (1979) Hawaiian avifauna: biogeographic theory in evolutionary time. Journal of Biogeography, 6, 205-224."
70,Kamstra&Towle(1991),"Hager, H.A. (1997) Conservation of species richness: are all umbrella species of similar quality? MSc Thesis. The University of Guelph, Ontario, Canada."
71,Kingetal(1997)Erie islands(Amphibians&reptiles),"King, R.B., Oldham, M.J., Weller, W.F. & Wynn, D. (1997) Historic and current amphibian and reptile distributions in the island region of western Lake Erie. American Midland Naturalist, 138, 153–173."
72,Klinkenberg1983_plants,"Hager, H.A. (1997) Conservation of species richness: are all umbrella species of similar quality? MSc Thesis. The University of Guelph, Ontario, Canada."
73,Koopman(1958),"Koopman, K.F. (1958) Land bridges and ecology in bat distribution on islands off the northern coast of South America. Evolution, 12, 429–439"
74,Krystufek & Kletecki (2007)Amphib,"Kryštufek, B. & Klete?ki, E. (2007) Biogeography of small terrestrial vertebrates on the Adriatic landbridge islands. Folia Zoologica, 56, 225–234."
75,Krystufek & Kletecki (2007)Mammals,"Kryštufek, B. & Klete?ki, E. (2007) Biogeography of small terrestrial vertebrates on the Adriatic landbridge islands. Folia Zoologica, 56, 225–234."
76,Krystufek & Kletecki (2007)Reptiles,"Kryštufek, B. & Klete?ki, E. (2007) Biogeography of small terrestrial vertebrates on the Adriatic landbridge islands. Folia Zoologica, 56, 225–234."
77,Lawlor (1983) bajaml,"Lawlor, T. (1983) The mammals. Island biogeography in the Sea of Cortez (ed. by T. Case and M. Cody), pp. 265-898. University of California Press Berkeley, CA."
78,Lawlor (1983) bajamo,"Lawlor, T. (1983) The mammals. Island biogeography in the Sea of Cortez (ed. by T. Case and M. Cody), pp. 265-898. University of California Press Berkeley, CA."
79,Lazell (1983) virgin islands,"Lazell, J.D.Jr (1983) Biogeography of the herpetofauna of the British Virgin Islands, with description of a new anole (Sauria: Iguanidae); in Advances in herpetology and evolutionary biology (eds. Rhodin AGJ & Miyata K) Harvard University, Massachusetts, p.99-117"
80,Long&Long(1976),"Long, C.A. & Long, C.A. (1976) Some amphibians and reptiles collected on islands in Green Bay, Lake Michigan. Jack-Pine Warbler, 54, 54–58."
81,Long(1978),"Long, C.A. (1978) Mammals of the islands of Green Bay, Lake Michigan. Jack-Pine Warbler, 56, 59–82."
82,maly & doolittle (1977) bahamasn,"Maly, E.J. & Doolittle, W.L. (1977) Effects of island area and habitat on Bahamian land and freshwater snail distribution. American Midland Naturalist, 97, 59–67."
83,Mello2005_macrolepidoptera,"Mello, M.J. (2005) Inventory of macrolepidoptera and other insects in the Boston Harbor Islands National Park area. Northeastern Naturalist, 12, 99–144."
84,Mello2005_microlepidoptera,"Mello, M.J. (2005) Inventory of macrolepidoptera and other insects in the Boston Harbor Islands National Park area. Northeastern Naturalist, 12, 99–144."
85,MillienParra&Jaeger(1999),"Millien-Parra, V. & Jaeger, J.J. (1999) Island biogeography of the Japanese terrestrial mammal assemblages: an example of a relict fauna. Journal of Biogeography, 26, 959–972."
86,Murphy (1983) Bajahl,"Murphy, R.W. (1983) The reptiles: origin and evolution. Island biogeography in the Sea of Cortez (ed. by T. Case and M. Cody), pp. 130–158. University of California Press Berkeley, CA."
87,Murphy (1983) Bajaho,"Murphy, R.W. (1983) The reptiles: origin and evolution. Island biogeography in the Sea of Cortez (ed. by T. Case and M. Cody), pp. 130–158. University of California Press Berkeley, CA."
